BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.366822,-0.341353,100,15,7,2,3,89
2.366119,-0.413442,100,15,7,3,4,91
2.362337,-0.452393,100,15,7,4,5,95
3.943404,-0.413342,100,15,7,5,6,99
3.665924,2.732801,100,15,7,8,9,103
2.454943,2.650729,100,15,7,9,10,107
1.947478,2.71721,100,15,7,10,11,111
2.225099,2.711269,100,15,7,11,12,115
3.105975,2.624848,100,15,7,12,13,119
5.761447,2.749966,100,15,7,13,14,123
4.9154,-0.415552,100,16,8,1,2,127
2.975742,-0.378651,100,16,8,2,3,131
2.506919,-0.398156,100,16,8,3,4,135
2.088083,-0.405627,100,16,8,4,5,139
2.607419,-0.36526,100,16,8,5,6,143
3.942363,-0.413208,100,16,8,6,7,147
3.845344,2.6336,100,16,8,9,10,151
2.087949,2.736165,100,16,8,10,11,155
1.851844,2.669597,100,16,8,11,12,159
2.088157,2.603061,100,16,8,12,13,163
3.334712,2.697268,100,16,8,13,14,167
6.487402,2.712428,100,16,8,14,15,171
4.368717,-0.387229,100,1,9,2,3,175
2.876991,-0.407604,100,1,9,3,4,179
2.132057,-0.42848,100,1,9,4,5,183
2.240025,-0.347676,100,1,9,5,6,187
2.692175,-0.403174,100,1,9,6,7,191
4.220276,-0.417141,100,1,9,7,8,195
3.339232,2.72506,100,1,9,10,11,199
2.084321,2.69178,100,1,9,11,12,203
1.811301,2.59279,100,1,9,12,13,207
2.362102,2.689167,100,1,9,13,14,211
4.261234,2.691298,100,1,9,14,15,215
4.89934,2.792745,100,1,9,15,16,219
4.276015,-0.385424,100,2,10,3,4,223
2.457779,-0.415652,100,2,10,4,5,227
2.239651,-0.34784,100,2,10,5,6,231
2.230209,-0.388922,100,2,10,6,7,235
2.649096,-0.3846,100,2,10,7,8,239
3.856601,-0.387825,100,2,10,8,9,243
3.612759,2.695165,100,2,10,11,12,247
2.137939,2.582791,100,2,10,12,13,251
2.084113,2.691748,100,2,10,13,14,255
3.380378,2.683227,100,2,10,14,15,3
3.529916,2.748314,100,2,10,15,16,7
3.622836,2.746134,100,3,11,1,2,11
3.894043,-0.424679,100,3,11,4,5,15
2.741711,-0.387619,100,3,11,5,6,19
2.322275,-0.392265,100,3,11,6,7,23
2.280589,-0.370374,100,3,11,7,8,27
2.567164,-0.345471,100,3,11,8,9,31
4.353392,-0.493336,100,3,11,9,10,35
3.523838,2.616947,100,3,11,12,13,39
2.26928,2.689935,100,3,11,13,14,43
3.195187,2.655038,100,3,11,14,15,47
3.203229,2.741867,100,3,11,15,16,51
2.08774,2.736133,100,4,12,1,2,55
3.474291,2.709511,100,4,12,2,3,59
4.45953,-0.388986,100,4,12,5,6,63
2.699321,-0.369046,100,4,12,6,7,67
2.322044,-0.392298,100,4,12,7,8,71
2.161441,-0.299937,100,4,12,8,9,75
2.779121,-0.505449,100,4,12,9,10,79
3.784027,-0.337051,100,4,12,10,11,83
3.610735,2.669565,100,4,12,13,14,87
3.472169,2.656232,100,4,12,14,15,91
3.338234,2.724964,100,4,12,15,16,95
1.854157,2.719555,100,5,13,1,2,99
2.137726,2.756236,100,5,13,2,3,103
3.906595,2.764449,100,5,13,3,4,107
4.219435,-0.417205,100,5,13,6,7,111
2.649096,-0.3846,100,5,13,7,8,115
2.161656,-0.299904,100,5,13,8,9,119
2.365258,-0.530851,100,5,13,9,10,123
2.527275,-0.324917,100,5,13,10,11,127
4.268426,-0.40697,100,5,13,11,12,131
4.815839,2.650269,100,5,13,14,15,135
4.13321,2.747987,100,5,13,15,16,139
2.132407,2.712945,100,6,14,1,2,143
1.861877,2.768964,100,6,14,2,3,147
2.273583,2.730643,100,6,14,3,4,151
3.335484,2.697233,100,6,14,4,5,155
4.079614,-0.426575,100,6,14,7,8,159
2.528112,-0.32492,100,6,14,8,9,163
2.409975,-0.510441,100,6,14,9,10,167
2.253684,-0.306949,100,6,14,10,11,171
2.877371,-0.407671,100,6,14,11,12,175
4.772254,-0.44298,100,6,14,12,13,179
6.309446,2.72825,100,6,14,15,16,183
3.142283,2.697929,100,7,15,1,2,187
2.219567,2.710463,100,7,15,2,3,191
2.126894,2.712108,100,7,15,3,4,195
2.177153,2.732426,100,7,15,4,5,199
3.624398,2.746164,100,7,15,5,6,203
3.776182,-0.361511,100,7,15,8,9,207
2.644716,-0.524751,100,7,15,9,10,211
2.072204,-0.292415,100,7,15,10,11,215
2.324122,-0.392338,100,7,15,11,12,219
3.196987,-0.486593,100,7,15,12,13,223
5.936531,-0.42526,100,7,15,13,14,227
4.762247,2.717297,100,8,16,1,2,231
2.863223,2.668792,100,8,16,2,3,235
2.315882,2.709247,100,8,16,3,4,239
1.992193,2.692778,100,8,16,4,5,243
2.415628,2.746299,100,8,16,5,6,247
3.895334,2.716911,100,8,16,6,7,251
4.076207,-0.472265,100,8,16,9,10,255
2.216328,-0.282999,100,8,16,10,11,3
2.046238,-0.381538,100,8,16,11,12,7
2.315721,-0.472198,100,8,16,12,13,11
3.43216,-0.418097,100,8,16,13,14,15
6.723195,-0.42386,100,8,16,14,15,19
4.168092,2.691848,100,9,1,2,3,23
2.686856,2.703966,100,9,1,3,4,27
1.991399,2.692649,100,9,1,4,5,31
2.087875,2.735934,100,9,1,5,6,35
2.457289,2.725877,100,9,1,6,7,39
4.033863,2.726741,100,9,1,7,8,43
3.432323,-0.296025,100,9,1,10,11,47
2.239428,-0.347872,100,9,1,11,12,51
1.991136,-0.448876,100,9,1,12,13,55
2.556613,-0.381468,100,9,1,13,14,59
4.317425,-0.397,100,9,1,14,15,63
5.19208,-0.418508,100,9,1,15,16,67
4.121738,2.703327,100,10,2,3,4,71
2.361008,2.689237,100,10,2,4,5,75
2.087465,2.7362,100,10,2,5,6,79
2.175905,2.690905,100,10,2,6,7,83
2.500955,2.70652,100,10,2,7,8,87
3.679949,2.782935,100,10,2,8,9,91
3.762957,-0.385987,100,10,2,11,12,95
2.268303,-0.451687,100,10,2,12,13,99
2.279834,-0.370371,100,10,2,13,14,103
3.486602,-0.378997,100,10,2,14,15,107
3.578429,-0.381433,100,10,2,15,16,111
3.620924,-0.395189,100,11,3,1,2,115
3.707455,2.619674,100,11,3,4,5,119
2.501204,2.706553,100,11,3,5,6,123
2.175975,2.690806,100,11,3,6,7,127
2.175975,2.690806,100,11,3,7,8,131
2.397106,2.844205,100,11,3,8,9,135
3.981747,2.646281,100,11,3,9,10,139
3.61476,-0.420855,100,11,3,12,13,143
2.474508,-0.340745,100,11,3,13,14,147
3.261172,-0.358268,100,11,3,14,15,151
3.210187,-0.370957,100,11,3,15,16,155
2.27215,-0.411044,100,12,4,1,2,159
3.566197,-0.433283,100,12,4,2,3,163
4.350098,2.669468,100,12,4,5,6,167
2.5932,2.705167,100,12,4,6,7,171
2.175325,2.690709,100,12,4,7,8,175
2.016134,2.830843,100,12,4,8,9,179
2.50559,2.595497,100,12,4,9,10,183
