BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.631913,-3.131838,1,13,5,10,11,108
4.140396,-3.141476,1,13,5,11,12,112
3.970225,0.002522,1,13,5,14,15,116
2.712311,-0.002364,1,13,5,15,16,120
2.321772,0.006397,1,14,6,1,2,124
2.434126,0.003528,1,14,6,2,3,128
2.689027,0.008538,1,14,6,3,4,132
3.9993,-0.004925,1,14,6,4,5,136
4.084111,-3.140507,1,14,6,7,8,140
2.687246,-3.132885,1,14,6,8,9,144
2.463664,-3.12726,1,14,6,9,10,148
2.267649,-3.133752,1,14,6,10,11,152
2.77215,3.137976,1,14,6,11,12,156
4.058514,3.135814,1,14,6,12,13,160
4.061442,0.008109,1,14,6,15,16,164
2.632386,0.010596,1,15,7,1,2,168
2.379486,0.005388,1,15,7,2,3,172
2.323573,0.006669,1,15,7,3,4,176
2.62865,-0.011052,1,15,7,4,5,180
3.978743,0.002406,1,15,7,5,6,184
4.002554,3.136803,1,15,7,8,9,188
2.800906,-3.135461,1,15,7,9,10,192
2.268577,-3.13364,1,15,7,10,11,196
2.493802,-3.139391,1,15,7,11,12,200
2.659885,3.140422,1,15,7,12,13,204
4.51119,-3.13967,1,15,7,13,14,208
3.976984,0.00252,1,16,8,1,2,212
2.690469,0.008509,1,16,8,2,3,216
2.324479,0.006424,1,16,8,3,4,220
2.352758,-0.006383,1,16,8,4,5,224
2.688686,0.008679,1,16,8,5,6,228
3.981889,0.002094,1,16,8,6,7,232
4.229247,-3.135946,1,16,8,9,10,236
2.633597,-3.131603,1,16,8,10,11,240
2.489388,-3.139027,1,16,8,11,12,244
2.377854,-3.136481,1,16,8,12,13,248
3.049183,-3.130997,1,16,8,13,14,252
4.08628,-3.140625,1,16,8,14,15,0
4.090737,0.000416,1,1,9,2,3,4
2.633645,0.009496,1,1,9,3,4,8
2.380659,0.004555,1,1,9,4,5,12
2.435933,0.003175,1,1,9,5,6,16
2.743206,0.007075,1,1,9,6,7,20
4.084417,0.000813,1,1,9,7,8,24
3.887848,3.137936,1,1,9,10,11,28
2.800984,-3.135776,1,1,9,11,12,32
2.380346,-3.136986,1,1,9,12,13,36
2.688027,-3.133303,1,1,9,13,14,40
2.743451,-3.134522,1,1,9,14,15,44
4.226166,-3.136175,1,1,9,15,16,48
4.055875,0.008406,1,2,10,3,4,52
2.712108,-0.002092,1,2,10,4,5,56
2.433933,0.003712,1,2,10,5,6,60
2.434264,0.003749,1,2,10,6,7,64
2.65916,-0.001246,1,2,10,7,8,68
3.859998,0.004356,1,2,10,8,9,72
4.227578,-3.13579,1,2,10,11,12,76
2.713076,3.139482,1,2,10,12,13,80
2.742898,-3.134108,1,2,10,13,14,84
2.433293,-3.137777,1,2,10,14,15,88
2.854967,-3.136421,1,2,10,15,16,92
4.114578,3.13529,1,3,11,1,2,96
4.028673,0.00175,1,3,11,4,5,100
2.798537,0.006222,1,3,11,5,6,104
2.490802,0.002311,1,3,11,6,7,108
2.322918,0.006415,1,3,11,7,8,112
2.659622,-0.001345,1,3,11,8,9,116
4.170998,0.00643,1,3,11,9,10,120
4.031532,-3.13997,1,3,11,12,13,124
3.081644,-3.141194,1,3,11,13,14,128
2.464094,3.13297,1,3,11,14,15,132
2.548745,-3.140692,1,3,11,15,16,136
2.716609,3.138695,1,4,12,1,2,140
4.1446,3.141431,1,4,12,2,3,144
4.429572,0.008878,1,4,12,5,6,148
2.804213,0.005575,1,4,12,6,7,152
2.325878,0.005943,1,4,12,7,8,156
2.381622,0.004578,1,4,12,8,9,160
2.749056,0.006691,1,4,12,9,10,164
3.928202,0.002552,1,4,12,10,11,168
4.543087,-3.134338,1,4,12,13,14,172
2.71891,3.138604,1,4,12,14,15,176
2.495973,-3.139887,1,4,12,15,16,180
2.439201,-3.138491,1,5,13,1,2,184
2.859089,-3.137081,1,5,13,2,3,188
4.369189,3.138741,1,5,13,3,4,192
4.200467,-0.000791,1,5,13,6,7,196
2.660447,-0.001406,1,5,13,7,8,200
2.326195,0.005981,1,5,13,8,9,204
2.437045,0.003329,1,5,13,9,10,208
2.550423,0.000641,1,5,13,10,11,212
4.063218,0.007906,1,5,13,11,12,216
4.091142,-3.141003,1,5,13,14,15,220
2.801129,-3.135644,1,5,13,15,16,224
2.436221,-3.137887,1,6,14,1,2,228
2.49358,-3.139386,1,6,14,2,3,232
2.748748,-3.134492,1,6,14,3,4,236
4.118974,3.135143,1,6,14,4,5,240
3.981552,0.002189,1,6,14,7,8,244
2.607255,-0.000467,1,6,14,8,9,248
2.381544,0.004804,1,6,14,9,10,252
2.269558,0.007661,1,6,14,10,11,0
2.689381,0.008486,1,6,14,11,12,4
3.979435,0.002307,1,6,14,12,13,8
4.149987,3.141405,1,6,14,15,16,12
2.693038,-3.133673,1,7,15,1,2,16
2.469985,-3.127936,1,7,15,2,3,20
2.410453,3.13384,1,7,15,3,4,24
2.721256,3.138781,1,7,15,4,5,28
4.0694,-3.133769,1,7,15,5,6,32
3.925486,0.003038,1,7,15,8,9,36
2.749486,0.007086,1,7,15,9,10,40
2.270188,0.007825,1,7,15,10,11,44
2.405889,-0.007158,1,7,15,11,12,48
2.606593,-0.000185,1,7,15,12,13,52
4.33938,0.004312,1,7,15,13,14,56
4.032443,-3.139937,1,8,16,1,2,60
2.744961,-3.134283,1,8,16,2,3,64
2.382609,-3.136813,1,8,16,3,4,68
2.405889,3.134435,1,8,16,4,5,72
2.745336,-3.134246,1,8,16,5,6,76
4.033904,-3.139867,1,8,16,6,7,80
4.142654,0.000267,1,8,16,9,10,84
2.548769,0.001079,1,8,16,10,11,88
2.435248,0.003772,1,8,16,11,12,92
2.324687,0.006419,1,8,16,12,13,96
2.772438,-0.003353,1,8,16,13,14,100
4.031742,0.001754,1,8,16,14,15,104
4.146042,3.141233,1,9,1,2,3,108
2.687914,-3.133256,1,9,1,3,4,112
2.435601,-3.138455,1,9,1,4,5,116
2.521921,-3.129315,1,9,1,5,6,120
2.800956,-3.135955,1,9,1,6,7,124
4.147329,3.141171,1,9,1,7,8,128
3.837457,-0.003358,1,9,1,10,11,132
2.714209,-0.002671,1,9,1,11,12,136
2.326173,0.005802,1,9,1,12,13,140
2.46635,0.013782,1,9,1,13,14,144
2.744908,0.006952,1,9,1,14,15,148
4.173526,0.006039,1,9,1,15,16,152
4.145186,3.141558,1,10,2,3,4,156
2.771551,3.138122,1,10,2,4,5,160
2.549644,-3.140801,1,10,2,5,6,164
2.491692,-3.139301,1,10,2,6,7,168
2.717032,3.13909,1,10,2,7,8,172
3.920761,-3.138445,1,10,2,8,9,176
4.177122,0.006217,1,10,2,11,12,180
2.634278,0.009796,1,10,2,12,13,184
2.438686,0.003338,1,10,2,13,14,188
2.437493,0.003409,1,10,2,14,15,192
2.802618,0.00583,1,10,2,15,16,196
4.118197,-0.006619,1,11,3,1,2,200
4.122017,3.134699,1,11,3,4,5,204
2.86061,-3.1372,1,11,3,5,6,208
2.524521,-3.129326,1,11,3,6,7,212
2.438571,-3.138297,1,11,3,7,8,216
2.716661,3.139052,1,11,3,8,9,220
4.260662,3.139912,1,11,3,9,10,224
3.978853,0.002091,1,11,3,12,13,228
2.831633,-0.004998,1,11,3,13,14,232
2.438559,0.003206,1,11,3,14,15,236
2.438444,0.003164,1,11,3,15,16,240
