BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
3.987744,2.715905,100,13,5,6,7,96
2.500979,2.669395,100,13,5,7,8,100
2.005003,2.785054,100,13,5,8,9,104
2.084731,2.647077,100,13,5,9,10,108
2.362566,2.6889,100,13,5,10,11,112
3.95018,2.751463,100,13,5,11,12,116
4.010136,-0.356638,100,13,5,14,15,120
2.55788,-0.381638,100,13,5,15,16,124
2.226058,-0.389964,100,14,6,1,2,128
2.181713,-0.40849,100,14,6,2,3,132
2.601162,-0.400993,100,14,6,3,4,136
3.852467,-0.412132,100,14,6,4,5,140
3.988797,2.622814,100,14,6,7,8,144
2.416103,2.746032,100,14,6,8,9,148
2.13297,2.625909,100,14,6,9,10,152
1.947924,2.621677,100,14,6,10,11,156
2.410767,2.707703,100,14,6,11,12,160
3.808561,2.742268,100,14,6,12,13,164
4.093149,-0.381705,100,14,6,15,16,168
2.552435,-0.417645,100,15,7,1,2,172
2.181931,-0.408457,100,15,7,2,3,176
2.190146,-0.366383,100,15,7,3,4,180
2.32389,-0.392371,100,15,7,4,5,184
4.081769,-0.426845,100,15,7,5,6,188
3.852342,2.72956,100,15,7,8,9,192
2.55218,2.614933,100,15,7,9,10,196
1.94825,2.621841,100,15,7,10,11,200
1.997287,2.738979,100,15,7,11,12,204
2.318647,2.709303,100,15,7,12,13,208
3.951884,2.751492,100,15,7,13,14,212
4.1441,-0.371552,100,16,8,1,2,216
2.551581,-0.417973,100,16,8,2,3,220
2.189568,-0.366249,100,16,8,3,4,224
1.926939,-0.303331,100,16,8,4,5,228
2.55839,-0.381573,100,16,8,5,6,232
4.076482,-0.472133,100,16,8,6,7,236
4.170159,2.647241,100,16,8,9,10,240
2.363037,2.649754,100,16,8,10,11,244
1.99252,2.692611,100,16,8,11,12,248
1.99252,2.692611,100,16,8,12,13,252
2.416103,2.746032,100,16,8,13,14,0
3.900964,2.740535,100,16,8,14,15,4
4.137177,-0.393845,100,1,9,2,3,8
2.609922,-0.3655,100,1,9,3,4,12
1.914037,-0.350884,100,1,9,4,5,16
2.190583,-0.366319,100,1,9,5,6,20
2.688105,-0.472303,100,1,9,6,7,24
4.267919,-0.428852,100,1,9,7,8,28
3.754364,2.681634,100,1,9,10,11,32
2.456564,2.688123,100,1,9,11,12,36
1.993245,2.692509,100,1,9,12,13,40
2.006133,2.785016,100,1,9,13,14,44
2.374774,2.766984,100,1,9,14,15,48
4.034151,2.703726,100,1,9,15,16,52
4.137177,-0.393845,100,2,10,3,4,56
2.374851,-0.374708,100,2,10,4,5,60
2.232199,-0.389294,100,2,10,5,6,64
2.224417,-0.472336,100,2,10,6,7,68
2.689347,-0.437767,100,2,10,7,8,72
3.952278,-0.390068,100,2,10,8,9,76
4.078612,2.692048,100,2,10,11,12,80
2.411248,2.707767,100,2,10,12,13,84
1.997287,2.738979,100,2,10,13,14,88
1.997287,2.738979,100,2,10,14,15,92
2.456319,2.688091,100,2,10,15,16,96
4.053402,2.772239,100,3,11,1,2,100
3.818087,-0.375082,100,3,11,4,5,104
2.701911,-0.369286,100,3,11,5,6,108
2.224345,-0.472236,100,3,11,6,7,112
2.271231,-0.45193,100,3,11,7,8,116
2.477456,-0.34102,100,3,11,8,9,120
4.171676,-0.450017,100,3,11,9,10,124
3.804441,2.718099,100,3,11,12,13,128
2.367528,2.728013,100,3,11,13,14,132
1.993245,2.692509,100,3,11,14,15,136
2.041154,2.71468,100,3,11,15,16,140
2.374223,2.767019,100,4,12,1,2,144
3.951617,2.75136,100,4,12,2,3,148
4.463219,-0.389159,100,4,12,5,6,152
2.736892,-0.421629,100,4,12,6,7,156
2.270479,-0.451927,100,4,12,7,8,160
2.109771,-0.318014,100,4,12,8,9,164
2.693328,-0.403476,100,4,12,9,10,168
3.985169,-0.449081,100,4,12,10,11,172
3.847623,2.705389,100,4,12,13,14,176
2.408986,2.66926,100,4,12,14,15,180
1.992585,2.692512,100,4,12,15,16,184
2.047253,2.759885,100,5,13,1,2,188
2.509155,2.743064,100,5,13,2,3,192
4.371461,2.754127,100,5,13,3,4,196
4.179622,-0.4058,100,5,13,6,7,200
2.641374,-0.454858,100,5,13,7,8,204
2.110049,-0.318081,100,5,13,8,9,208
2.274483,-0.411152,100,5,13,9,10,212
2.46646,-0.378239,100,5,13,10,11,216
4.037472,-0.414892,100,5,13,11,12,220
3.891827,2.669292,100,5,13,14,15,224
2.409226,2.669292,100,5,13,15,16,228
2.040884,2.714748,100,6,14,1,2,232
1.997416,2.73878,100,6,14,2,3,236
2.558983,2.759984,100,6,14,3,4,240
3.674996,2.757602,100,6,14,4,5,244
4.174482,-0.427953,100,6,14,7,8,248
2.477209,-0.341052,100,6,14,8,9,252
2.231904,-0.389227,100,6,14,9,10,0
2.057648,-0.33674,100,6,14,10,11,4
2.503935,-0.435348,100,6,14,11,12,8
3.951884,-0.390101,100,6,14,12,13,12
3.892215,2.669325,100,6,14,15,16,16
2.453126,2.724998,100,7,15,1,2,20
1.992254,2.738273,100,7,15,2,3,24
2.035402,2.713878,100,7,15,3,4,28
2.185568,2.774533,100,7,15,4,5,32
3.897655,2.716773,100,7,15,5,6,36
3.91125,-0.377419,100,7,15,8,9,40
2.602368,-0.401063,100,7,15,9,10,44
2.058397,-0.336843,100,7,15,10,11,48
2.134241,-0.42892,100,7,15,11,12,52
2.467525,-0.37821,100,7,15,12,13,56
4.127605,-0.505966,100,7,15,13,14,60
3.983458,2.738408,100,8,16,1,2,64
2.404454,2.706965,100,8,16,2,3,68
2.083826,2.691153,100,8,16,3,4,72
1.782991,2.825891,100,8,16,4,5,76
2.367841,2.727945,100,8,16,5,6,80
3.987017,2.692441,100,8,16,6,7,84
4.27266,-0.40731,100,8,16,9,10,88
2.425773,-0.357459,100,8,16,10,11,92
2.182507,-0.408592,100,8,16,11,12,96
2.139777,-0.385597,100,8,16,12,13,100
2.559321,-0.381676,100,8,16,13,14,104
4.044784,-0.392049,100,8,16,14,15,108
3.985964,2.692576,100,9,1,2,3,112
2.503766,2.706113,100,9,1,3,4,116
1.770373,2.774069,100,9,1,4,5,120
2.040681,2.714716,100,9,1,5,6,124
2.411085,2.707635,100,9,1,6,7,128
4.129707,2.725281,100,9,1,7,8,132
3.9447,-0.413677,100,9,1,10,11,136
2.601246,-0.401093,100,9,1,11,12,140
2.139137,-0.385694,100,9,1,12,13,144
2.149147,-0.34273,100,9,1,13,14,148
2.568519,-0.345741,100,9,1,14,15,152
4.170428,-0.450114,100,9,1,15,16,156
4.124869,2.703023,100,10,2,3,4,160
2.231092,2.752469,100,10,2,4,5,164
2.040208,2.714751,100,10,2,5,6,168
2.130745,2.669327,100,10,2,6,7,172
2.548051,2.687507,100,10,2,7,8,176
3.808561,2.742268,100,10,2,8,9,180
4.185421,-0.383709,100,10,2,11,12,184
2.568263,-0.345773,100,10,2,12,13,188
2.18935,-0.366281,100,10,2,13,14,192
2.10956,-0.318046,100,10,2,14,15,196
2.548133,-0.454185,100,10,2,15,16,200
4.184034,-0.383706,100,11,3,1,2,204
3.70791,2.694419,100,11,3,4,5,208
2.501889,2.669292,100,11,3,5,6,212
2.178133,2.647919,100,11,3,6,7,216
2.131307,2.669193,100,11,3,7,8,220
2.308209,2.850941,100,11,3,8,9,224
4.08621,2.737336,100,11,3,9,10,228
3.970602,-0.343636,100,11,3,12,13,232
2.558473,-0.381673,100,11,3,13,14,236
2.189639,-0.366348,100,11,3,14,15,240
2.181713,-0.40849,100,11,3,15,16,244
2.557543,-0.38157,100,12,4,1,2,248
4.042104,-0.392043,100,12,4,2,3,252
4.400114,2.679921,100,12,4,5,6,0
2.595003,2.633663,100,12,4,6,7,4
2.13032,2.669263,100,12,4,7,8,8
1.926238,2.838364,100,12,4,8,9,12
2.458428,2.725806,100,12,4,9,10,16
3.723383,2.768932,100,12,4,10,11,20
4.177404,-0.405861,100,12,4,13,14,24
2.608276,-0.365594,100,12,4,14,15,28
2.181061,-0.408586,100,12,4,15,16,32
2.230798,-0.389057,100,13,5,1,2,36
2.64384,-0.419582,100,13,5,2,3,40
4.547312,-0.41105,100,13,5,3,4,44
4.077128,2.646704,100,13,5,6,7,48
2.40835,2.669395,100,13,5,7,8,52
1.92643,2.838396,100,13,5,8,9,56
1.996426,2.73895,100,13,5,9,10,60
2.317648,2.709274,100,13,5,10,11,64
3.95018,2.751463,100,13,5,11,12,68
4.061565,-0.346528,100,13,5,14,15,72
2.551162,-0.417806,100,13,5,15,16,76
2.17679,-0.40933,100,14,6,1,2,80
2.149008,-0.34253,100,14,6,2,3,84
2.693597,-0.403444,100,14,6,3,4,88
3.852467,-0.412132,100,14,6,4,5,92
3.984092,2.66926,100,14,6,7,8,96
2.323733,2.74909,100,14,6,8,9,100
1.996888,2.738915,100,14,6,9,10,104
1.945719,2.66926,100,14,6,10,11,108
2.323501,2.749058,100,14,6,11,12,112
3.808561,2.742268,100,14,6,12,13,116
4.036667,-0.414957,100,14,6,15,16,120
2.559156,-0.381476,100,15,7,1,2,124
2.149222,-0.342498,100,15,7,2,3,128
2.274857,-0.411319,100,15,7,3,4,132
2.323965,-0.39247,100,15,7,4,5,136
4.081901,-0.426945,100,15,7,5,6,140
3.804061,2.718066,100,15,7,8,9,144
2.459409,2.725935,100,15,7,9,10,148
1.900147,2.693678,100,15,7,10,11,152
1.948313,2.716908,100,15,7,11,12,156
2.411007,2.707735,100,15,7,12,13,160
4.173931,2.624877,100,15,7,13,14,164
4.062102,-0.346596,100,16,8,1,2,168
2.5583,-0.381805,100,16,8,2,3,172
2.274183,-0.411085,100,16,8,3,4,176
1.926939,-0.303331,100,16,8,4,5,180
2.600818,-0.400925,100,16,8,5,6,184
4.085946,-0.404057,100,16,8,6,7,188
4.032684,2.703829,100,16,8,9,10,192
2.316258,2.66936,100,16,8,10,11,196
1.99252,2.692611,100,16,8,11,12,200
1.99252,2.692611,100,16,8,12,13,204
2.416025,2.746132,100,16,8,13,14,208
3.851699,2.729396,100,16,8,14,15,212
4.094914,-0.381676,100,1,9,2,3,216
2.651638,-0.38484,100,1,9,3,4,220
1.914228,-0.350851,100,1,9,4,5,224
2.190583,-0.366319,100,1,9,5,6,228
2.602024,-0.400996,100,1,9,6,7,232
4.223905,-0.417413,100,1,9,7,8,236
3.712363,2.719248,100,1,9,10,11,240
2.364133,2.688895,100,1,9,11,12,244
1.993245,2.692509,100,1,9,12,13,248
2.041154,2.71468,100,1,9,13,14,252
2.324504,2.749087,100,1,9,14,15,0
4.130943,2.725378,100,1,9,15,16,4
4.187644,-0.383647,100,2,10,3,4,8
2.374851,-0.374708,100,2,10,4,5,12
2.190365,-0.366351,100,2,10,5,6,16
2.190294,-0.366251,100,2,10,6,7,20
2.596548,-0.436669,100,2,10,7,8,24
3.994972,-0.402581,100,2,10,8,9,28
3.985964,2.692576,100,2,10,11,12,32
2.411489,2.707799,100,2,10,12,13,36
2.040884,2.714748,100,2,10,13,14,40
1.954914,2.764276,100,2,10,14,15,44
2.59481,2.669325,100,2,10,15,16,48
4.044784,2.749544,100,3,11,1,2,52
3.818087,-0.375082,100,3,11,4,5,56
2.651373,-0.384872,100,3,11,5,6,60
2.190294,-0.366251,100,3,11,6,7,64
2.182507,-0.408592,100,3,11,7,8,68
2.438057,-0.319586,100,3,11,8,9,72
4.365014,-0.408592,100,3,11,9,10,76
3.897014,2.71694,100,3,11,12,13,80
2.504184,2.706277,100,3,11,13,14,84
2.041154,2.71468,100,3,11,14,15,88
2.131733,2.669257,100,3,11,15,16,92
2.366979,2.728048,100,4,12,1,2,96
3.959777,2.774749,100,4,12,2,3,100
4.513132,-0.379914,100,4,12,5,6,104
2.743432,-0.387856,100,4,12,6,7,108
2.181784,-0.408589,100,4,12,7,8,112
2.071858,-0.292579,100,4,12,8,9,116
2.609141,-0.365597,100,4,12,9,10,120
3.944572,-0.413577,100,4,12,10,11,124
4.032814,2.634791,100,4,12,13,14,128
2.410767,2.707703,100,4,12,14,15,132
2.085422,2.647074,100,4,12,15,16,136
2.047253,2.759885,100,5,13,1,2,140
2.466866,2.763186,100,5,13,2,3,144
4.321567,2.744352,100,5,13,3,4,148
4.223063,-0.417478,100,5,13,6,7,152
2.596289,-0.436701,100,5,13,7,8,156
2.071997,-0.292447,100,5,13,8,9,160
2.189928,-0.366416,100,5,13,9,10,164
2.466706,-0.378207,100,5,13,10,11,168
4.081362,-0.426877,100,5,13,11,12,172
3.896237,2.716875,100,5,13,14,15,176
2.503604,2.632272,100,5,13,15,16,180
1.997351,2.738879,100,6,14,1,2,184
1.997615,2.738812,100,6,14,2,3,188
2.508993,2.743264,100,6,14,3,4,192
3.674996,2.757602,100,6,14,4,5,196
4.130531,-0.416247,100,6,14,7,8,200
2.477129,-0.340953,100,6,14,8,9,204
2.190146,-0.366383,100,6,14,9,10,208
2.006068,-0.356477,100,6,14,10,11,212
2.466786,-0.378307,100,6,14,11,12,216
3.859532,-0.38813,100,6,14,12,13,220
3.984887,2.669325,100,6,14,15,16,224
2.404771,2.706897,100,7,15,1,2,228
1.943403,2.716202,100,7,15,2,3,232
2.035337,2.713978,100,7,15,3,4,236
2.13509,2.755287,100,7,15,4,5,240
3.854253,2.72939,100,7,15,5,6,244
3.921517,-0.353848,100,7,15,8,9,248
2.610872,-0.365603,100,7,15,9,10,252
2.006598,-0.356612,100,7,15,10,11,0
2.140273,-0.385632,100,7,15,11,12,4
2.417386,-0.395499,100,7,15,12,13,8
4.045188,-0.55259,100,7,15,13,14,12
3.978095,2.715232,100,8,16,1,2,16
2.31181,2.708568,100,8,16,2,3,20
2.038444,2.714361,100,8,16,3,4,24
1.782755,2.825959,100,8,16,4,5,28
2.411807,2.707732,100,8,16,5,6,32
3.946008,2.727913,100,8,16,6,7,36
4.279692,-0.385697,100,8,16,9,10,40
2.477704,-0.340988,100,8,16,10,11,44
2.182507,-0.408592,100,8,16,11,12,48
2.098224,-0.361678,100,8,16,12,13,52
2.68775,-0.472236,100,8,16,13,14,56
3.989593,-0.425758,100,8,16,14,15,60
3.848391,2.705453,100,9,1,2,3,64
2.409304,2.669193,100,9,1,3,4,68
1.770373,2.774069,100,9,1,4,5,72
2.038576,2.669292,100,9,1,5,6,76
2.416344,2.746064,100,9,1,6,7,80
4.086342,2.737237,100,9,1,7,8,84
3.909563,-0.377448,100,9,1,10,11,88
2.517115,-0.361775,100,9,1,11,12,92
2.057237,-0.336805,100,9,1,12,13,96
2.225609,-0.43069,100,9,1,13,14,100
2.600902,-0.401025,100,9,1,14,15,104
4.125414,-0.438638,100,9,1,15,16,108
3.987873,2.715806,100,10,2,3,4,112
2.181496,2.733071,100,10,2,4,5,116
2.084939,2.691546,100,10,2,5,6,120
2.089051,2.735896,100,10,2,6,7,124
2.366507,2.727984,100,10,2,7,8,128
3.775175,2.779885,100,10,2,8,9,132
4.227758,-0.395593,100,10,2,11,12,136
