BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.551879,-0.044913,10,4,12,5,6,210
2.726765,-0.040962,10,4,12,6,7,214
2.322024,-0.043601,10,4,12,7,8,218
2.100737,-0.041696,10,4,12,8,9,222
2.879226,-0.063364,10,4,12,9,10,226
4.017543,-0.044386,10,4,12,10,11,230
4.163897,3.103883,10,4,12,13,14,234
2.635848,3.098431,10,4,12,14,15,238
2.117365,3.117803,10,4,12,15,16,242
2.246509,3.11211,10,5,13,1,2,246
2.651544,3.112678,10,5,13,2,3,250
4.585142,3.113067,10,5,13,3,4,254
4.315533,-0.05292,10,5,13,6,7,2
2.673219,-0.049139,10,5,13,7,8,6
2.062827,-0.033715,10,5,13,8,9,10
2.397988,-0.056966,10,5,13,9,10,14
2.451771,-0.047848,10,5,13,10,11,18
4.184783,-0.050506,10,5,13,11,12,22
4.163272,3.104027,10,5,13,14,15,26
2.522004,3.117718,10,5,13,15,16,30
2.209441,3.11979,10,6,14,1,2,34
2.192523,3.102761,10,6,14,2,3,38
2.743786,3.114603,10,6,14,3,4,42
3.829839,3.118278,10,6,14,4,5,46
4.239576,-0.045229,10,6,14,7,8,50
2.452048,-0.047611,10,6,14,8,9,54
2.383052,-0.07286,10,6,14,9,10,58
2.046951,-0.051964,10,6,14,10,11,62
2.581702,-0.051411,10,6,14,11,12,66
4.186263,-0.050529,10,6,14,12,13,70
4.16425,3.104061,10,6,14,15,16,74
2.614628,3.119558,10,7,15,1,2,78
2.155025,3.110518,10,7,15,2,3,82
2.247425,3.112354,10,7,15,3,4,86
2.33946,3.11411,10,7,15,4,5,90
4.052032,3.115924,10,7,15,5,6,94
4.035384,-0.035044,10,7,15,8,9,98
2.804012,-0.052488,10,7,15,9,10,102
2.047258,-0.052108,10,7,15,10,11,106
2.177236,-0.0564,10,7,15,11,12,110
2.712263,-0.054936,10,7,15,12,13,114
4.149285,-0.046842,10,7,15,13,14,118
4.255946,3.10539,10,8,16,1,2,122
2.560219,3.111056,10,8,16,2,3,126
2.247171,3.112116,10,8,16,3,4,130
1.988023,3.124293,10,8,16,4,5,134
2.522382,3.117574,10,8,16,5,6,138
4.088459,3.111833,10,8,16,6,7,142
4.498728,-0.049782,10,8,16,9,10,146
2.452131,-0.047845,10,8,16,10,11,150
2.176786,-0.056375,10,8,16,11,12,154
2.291838,-0.076722,10,8,16,12,13,158
2.619909,-0.057443,10,8,16,13,14,162
4.201081,-0.041433,10,8,16,14,15,166
4.070528,3.102549,10,9,1,2,3,170
2.651387,3.112706,10,9,1,3,4,174
1.987618,3.124172,10,9,1,4,5,178
