BIOZ1_TOMO,EXC_FREQ_KHZ,GND_OUTPUT,EXC_OUTPUT,SENSE_OUTPUT,PACKET_NUMBER
55.83153575348687,10,5,7,9,224
54.80163558234043,10,5,7,10,226
54.26890800119147,10,5,7,11,230
53.79602797663224,10,5,7,12,234
53.54108596700943,10,5,7,13,238
53.227075019211824,10,5,7,14,242
53.01189575347726,10,5,7,15,246
52.618401215445125,10,5,7,16,250
52.281962630238006,10,5,8,1,2
51.80192056927461,10,5,8,2,6
51.28472407228568,10,5,8,3,10
49.21554178568431,10,5,8,4,14
46.80939440727916,10,5,8,6,18
58.786362543157914,10,5,8,7,22
102.88148694362671,10,5,8,8,26
64.02113466595631,10,5,8,9,30
60.671976234941404,10,5,8,10,34
59.45374999089397,10,5,8,11,38
58.52709425955027,10,5,8,12,42
58.06237379747136,10,5,8,13,46
57.58568587253081,10,5,8,14,50
57.24138652760122,10,5,8,15,54
56.748976564232315,10,5,8,16,58
54.27384449335131,10,5,9,1,66
53.7143789231278,10,5,9,2,70
53.11941394984466,10,5,9,3,74
50.884199948087236,10,5,9,4,78
46.13457185632606,10,5,9,6,82
56.185308253337126,10,5,9,7,86
63.960271686401455,10,5,9,8,90
105.22735341180785,10,5,9,9,94
67.30295047727867,10,5,9,10,98
64.07150167164825,10,5,9,11,102
62.42001850838875,10,5,9,12,106
61.55779264424317,10,5,9,13,110
60.85702967471584,10,5,9,14,114
60.339314763581086,10,5,9,15,118
59.71815130129998,10,5,9,16,122
56.048031299002226,10,5,10,1,130
55.41326855350794,10,5,10,2,134
54.7640662368172,10,5,10,3,138
52.442325906537604,10,5,10,4,142
45.84941735764231,10,5,10,6,146
55.16148178029306,10,5,10,7,150
60.69645961115235,10,5,10,8,154
67.41870464351884,10,5,10,9,158
109.61010360303398,10,5,10,10,162
70.7046766546329,10,5,10,11,166
66.81880686777671,10,5,10,12,170
65.20536995865933,10,5,10,13,174
64.07883467450756,10,5,10,14,178
63.29696313565968,10,5,10,15,182
62.54309900409517,10,5,10,16,186
57.698119792493785,10,5,11,1,194
56.95364065604932,10,5,11,2,198
56.26077405429663,10,5,11,3,202
53.8128142613827,10,5,11,4,206
45.86208900284269,10,5,11,6,210
54.78274488192632,10,5,11,7,214
59.59530974637414,10,5,11,8,218
64.30990381762135,10,5,11,9,222
70.80859536012002,10,5,11,10,226
112.65016933549995,10,5,11,11,230
72.72731878880882,10,5,11,12,234
69.02857478076932,10,5,11,13,238
67.23792552746669,10,5,11,14,242
66.11221453779008,10,5,11,15,246
65.14365692471945,10,5,11,16,250
59.35473836460076,10,5,12,1,2
58.44175095830059,10,5,12,2,6
57.672834613652284,10,5,12,3,10
55.1273465000438,10,5,12,4,14
45.77524364971749,10,5,12,6,18
54.49561649954778,10,5,12,7,22
58.8966955460543,10,5,12,8,26
62.8693219008874,10,5,12,9,30
67.14964384187509,10,5,12,10,34
72.82933379317913,10,5,12,11,38
113.45455725903882,10,5,12,12,42
74.79949870390736,10,5,12,13,46
70.82723456296546,10,5,12,14,50
68.99436941968857,10,5,12,15,54
67.72514563787425,10,5,12,16,58
60.9049068411304,10,5,13,1,66
59.81941346880137,10,5,13,2,70
59.00121812729488,10,5,13,3,74
56.32341511299838,10,5,13,4,78
45.66272223251919,10,5,13,6,82
54.227885298481105,10,5,13,7,86
58.35212939530018,10,5,13,8,90
61.91896781726708,10,5,13,9,94
65.45911731123928,10,5,13,10,98
69.09202658823446,10,5,13,11,102
74.72623843555056,10,5,13,12,106
115.25449099765501,10,5,13,13,110
76.29906440123224,10,5,13,14,114
72.4599082761227,10,5,13,15,118
70.5758910437217,10,5,13,16,122
62.69175552470783,10,5,14,1,130
61.391816112829666,10,5,14,2,134
60.40221499293831,10,5,14,3,138
57.69624603806104,10,5,14,4,142
45.48595394343789,10,5,14,6,146
53.88764411354192,10,5,14,7,150
57.869242050947236,10,5,14,8,154
61.1815077365626,10,5,14,9,158
64.28850782571418,10,5,14,10,162
67.2707574963534,10,5,14,11,166
70.76000013994079,10,5,14,12,170
76.27663601286302,10,5,14,13,174
116.33750400185806,10,5,14,14,178
78.14698805703392,10,5,14,15,182
74.57401084098501,10,5,14,16,186
64.85637818238165,10,5,15,1,194
63.20041114236281,10,5,15,2,198
62.084834444088386,10,5,15,3,202
59.19378746545684,10,5,15,4,206
45.41605957617434,10,5,15,6,210
53.65151723321418,10,5,15,7,214
57.45690148609871,10,5,15,8,218
60.60411056766742,10,5,15,9,222
63.43855519895395,10,5,15,10,226
66.0916487375042,10,5,15,11,230
68.86327575816358,10,5,15,12,234
72.44471113910924,10,5,15,13,238
78.06952707632064,10,5,15,14,242
118.64527386085365,10,5,15,15,246
81.08439824932576,10,5,15,16,250
68.34431914524296,10,5,16,1,2
65.60396335508892,10,5,16,2,6
64.2474381234506,10,5,16,3,10
61.27029975894554,10,5,16,4,14
45.16919646449367,10,5,16,6,18
53.365678829132754,10,5,16,7,22
57.04342610807156,10,5,16,8,26
60.0553709950192,10,5,16,9,30
62.72237659444834,10,5,16,10,34
65.13708992216334,10,5,16,11,38
67.62313087837914,10,5,16,12,42
70.55002803759642,10,5,16,13,46
74.30689112203872,10,5,16,14,50
80.73008290430116,10,5,16,15,54
123.27441164310244,10,5,16,16,58
40.64705899410076,10,6,7,1,66
41.10443310402121,10,6,7,2,70
40.6803250681199,10,6,7,3,74
39.92718661981919,10,6,7,4,78
34.47361858105975,10,6,7,5,82
82.78864317454271,10,6,7,7,86
46.353868427281164,10,6,7,8,90
43.83092819899031,10,6,7,9,94
43.728889909289016,10,6,7,10,98
42.76204957199087,10,6,7,11,102
43.1761930364072,10,6,7,12,106
42.74812752937049,10,6,7,13,110
42.815742889567446,10,6,7,14,114
42.06227821088482,10,6,7,15,118
42.023680335185006,10,6,7,16,122
45.956087744335655,10,6,8,1,130
45.92406755323412,10,6,8,2,134
45.634409430009946,10,6,8,3,138
44.402258738219615,10,6,8,4,142
36.21111539008934,10,6,8,5,146
45.92200540655206,10,6,8,7,150
