BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.847302,0.002175,1,1,9,2,3,192,1
1.35967,-0.001293,1,1,9,3,4,195,1
1.167454,0.00434,1,1,9,4,5,198,1
1.152055,0.016523,1,1,9,5,6,201,1
1.418747,0.00047,1,1,9,6,7,204,1
1.921503,-0.003963,1,1,9,7,8,207,1
1.744738,3.132928,1,1,9,10,11,210,1
1.300668,3.138327,1,1,9,11,12,213,1
1.123807,3.131124,1,1,9,12,13,216,1
1.12375,3.131217,1,1,9,13,14,219,1
1.182798,3.133702,1,1,9,14,15,222,1
1.744365,3.132943,1,1,9,15,16,225,1
1.862909,-0.005487,1,2,10,3,4,228,1
1.273004,-0.027493,1,2,10,4,5,231,1
1.138041,0.003007,1,2,10,5,6,234,1
1.300855,-0.003307,1,2,10,6,7,237,1
1.182881,-0.007864,1,2,10,7,8,240,1
1.714013,0.007648,1,2,10,8,9,243,1
1.862821,3.136104,1,2,10,11,12,246,1
1.331872,3.117137,1,2,10,12,13,249,1
1.13955,3.119032,1,2,10,13,14,252,1
1.064825,3.128256,1,2,10,14,15,255,1
1.049503,8.6e-05,1,2,10,15,16,2,1
1.595872,-3.136451,1,2,10,16,1,5,1
1.699865,-0.001434,1,3,11,1,2,8,1
1.803517,-0.006983,1,3,11,4,5,11,1
1.300794,-0.003309,1,3,11,5,6,14,1
1.300791,-0.003261,1,3,11,6,7,17,1
1.064828,-0.013384,1,3,11,7,8,20,1
1.123699,-0.010425,1,3,11,8,9,23,1
1.862688,-0.005468,1,3,11,9,10,26,1
1.921496,3.137724,1,3,11,12,13,29,1
1.272972,3.114123,1,3,11,13,14,32,1
1.005761,3.124995,1,3,11,14,15,35,1
0.915977,-3.131702,1,3,11,15,16,38,1
1.123699,3.131168,1,3,11,16,1,41,1
1.153277,3.132459,1,4,12,1,2,44,1
1.772793,-3.132756,1,4,12,2,3,47,1
2.025662,-0.009013,1,4,12,5,6,50,1
1.418677,0.000515,1,4,12,6,7,53,1
1.078999,0.00088,1,4,12,7,8,56,1
1.005711,-0.016553,1,4,12,8,9,59,1
1.21226,-0.006633,1,4,12,9,10,62,1
1.713767,0.007689,1,4,12,10,11,65,1
1.744781,3.132906,1,4,12,13,14,68,1
1.123805,3.131172,1,4,12,14,15,71,1
0.887957,3.117139,1,4,12,15,16,74,1
0.974895,-3.129683,1,4,12,16,1,77,1
1.005689,3.125015,1,5,13,1,2,80,1
1.092858,-3.126414,1,5,13,2,3,83,1
1.980361,3.139025,1,5,13,3,4,86,1
1.893338,-0.020125,1,5,13,6,7,89,1
1.182624,-0.007755,1,5,13,7,8,92,1
0.974799,0.012,1,5,13,8,9,95,1
1.078817,0.000944,1,5,13,9,10,98,1
1.092853,0.015273,1,5,13,10,11,101,1
1.862416,-0.00538,1,5,13,11,12,104,1
1.654574,-3.134949,1,5,13,14,15,107,1
1.005711,3.12504,1,5,13,15,16,110,1
0.974895,-3.129683,1,5,13,16,1,113,1
