BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.773135,0.00875,1,1,9,2,3,4,1
1.34616,-0.013004,1,1,9,3,4,7,1
0.975083,0.011823,1,1,9,4,5,10,1
1.285746,0.007713,1,1,9,5,6,13,1
1.270505,0.018824,1,1,9,6,7,16,1
1.92202,-0.004165,1,1,9,7,8,19,1
1.744866,3.13286,1,1,9,10,11,22,1
1.226683,0.006042,1,1,9,11,12,25,1
1.182856,3.133657,1,1,9,12,13,28,1
1.139584,3.118962,1,1,9,13,14,31,1
1.093226,-3.126542,1,1,9,14,15,34,1
1.878476,3.128593,1,1,9,15,16,37,1
1.803953,-0.007115,1,2,10,3,4,40,1
1.124079,-0.0106,1,2,10,4,5,43,1
1.300978,-0.003303,1,2,10,5,6,46,1
1.167765,0.004186,1,2,10,6,7,49,1
1.21133,0.017686,1,2,10,7,8,52,1
1.686078,-0.010577,1,2,10,8,9,55,1
1.891217,-3.130761,1,2,10,11,12,58,1
1.301109,3.138152,1,2,10,12,13,61,1
1.124022,3.131085,1,2,10,13,14,64,1
0.975295,-3.129879,1,2,10,14,15,67,1
1.241973,3.136036,1,2,10,15,16,70,1
1.74516,3.132797,1,2,10,16,1,73,1
1.835023,3.119332,1,3,11,1,2,76,1
1.685998,-0.010579,1,3,11,4,5,79,1
1.391073,-0.021623,1,3,11,5,6,82,1
1.167736,0.004209,1,3,11,6,7,85,1
1.093275,0.0151,1,3,11,7,8,88,1
1.138205,0.002919,1,3,11,8,9,91,1
1.921874,-0.00405,1,3,11,9,10,94,1
1.745117,3.132819,1,3,11,12,13,97,1
1.214207,3.110624,1,3,11,13,14,100,1
0.975225,-3.129858,1,3,11,14,15,103,1
1.18291,3.133706,1,3,11,15,16,106,1
1.242031,3.136038,1,3,11,16,1,109,1
1.273066,3.114055,1,4,12,1,2,112,1
1.745038,3.13277,1,4,12,2,3,115,1
1.980974,-0.002626,1,4,12,5,6,118,1
1.32957,0.01981,1,4,12,6,7,121,1
1.123916,-0.010512,1,4,12,7,8,124,1
1.006052,-0.016728,1,4,12,8,9,127,1
1.300919,-0.003352,1,4,12,9,10,130,1
1.847792,0.002068,1,4,12,10,11,133,1
1.714104,-3.134085,1,4,12,13,14,136,1
1.108702,0.002251,1,4,12,14,15,139,1
1.182963,3.133755,1,4,12,15,16,142,1
1.079181,0.000769,1,4,12,16,1,145,1
1.182793,3.133796,1,5,13,1,2,148,1
1.241942,3.136058,1,5,13,2,3,151,1
1.921779,3.137588,1,5,13,3,4,154,1
1.921917,-0.004025,1,5,13,6,7,157,1
1.211151,0.017822,1,5,13,7,8,160,1
0.990496,-0.002408,1,5,13,8,9,163,1
1.214088,-0.030879,1,5,13,9,10,166,1
1.359868,-0.001381,1,5,13,10,11,169,1
1.921598,-0.004008,1,5,13,11,12,172,1
1.744784,3.132858,1,5,13,14,15,175,1
1.300791,3.138331,1,5,13,15,16,178,1
1.123863,3.131079,1,5,13,16,1,181,1
1.214207,3.110624,1,6,14,1,2,184,1
1.183053,3.13364,1,6,14,2,3,187,1
1.300919,3.138241,1,6,14,3,4,190,1
1.62704,3.129177,1,6,14,4,5,193,1
1.832175,0.009825,1,6,14,7,8,196,1
1.108674,0.002274,1,6,14,8,9,199,1
1.241906,-0.005417,1,6,14,9,10,202,1
1.287149,-0.015511,1,6,14,10,11,205,1
1.21127,0.017731,1,6,14,11,12,208,1
1.804035,-0.007065,1,6,14,12,13,211,1
1.89389,3.121291,1,6,14,15,16,214,1
1.228146,3.123379,1,6,14,16,1,217,1
1.300791,3.138331,1,7,15,1,2,220,1
1.138098,0.002962,1,7,15,2,3,223,1
1.182793,3.133796,1,7,15,3,4,226,1
1.034128,-3.128087,1,7,15,4,5,229,1
1.744781,3.132906,1,7,15,5,6,232,1
1.714098,0.007602,1,7,15,8,9,235,1
1.300919,-0.003352,1,7,15,9,10,238,1
1.300922,-0.003399,1,7,15,10,11,241,1
1.12386,-0.010466,1,7,15,11,12,244,1
1.359966,-0.001402,1,7,15,12,13,247,1
1.803694,-0.007073,1,7,15,13,14,250,1
1.744909,3.132838,1,7,15,16,1,253,1
1.803783,3.134474,1,8,16,1,2,0,1
1.242008,3.135919,1,8,16,2,3,3,1
1.182856,3.133657,1,8,16,3,4,6,1
0.931589,-0.005354,1,8,16,4,5,9,1
1.300983,3.138196,1,8,16,5,6,12,1
1.803957,3.134431,1,8,16,6,7,15,1
1.952943,-0.018461,1,8,16,9,10,18,1
1.391081,-0.021764,1,8,16,10,11,21,1
1.123865,-0.010561,1,8,16,11,12,24,1
1.242034,-0.005602,1,8,16,12,13,27,1
1.241911,-0.005512,1,8,16,13,14,30,1
1.803998,-0.007137,1,8,16,14,15,33,1
1.744122,3.13289,1,9,1,2,3,36,1
1.286603,3.126017,1,9,1,3,4,39,1
0.946677,3.121279,1,9,1,4,5,42,1
1.182577,3.133647,1,9,1,5,6,45,1
1.300364,3.13827,1,9,1,6,7,48,1
1.862347,3.135975,1,9,1,7,8,51,1
1.86208,-0.005577,1,9,1,10,11,54,1
1.241621,-0.005569,1,9,1,11,12,57,1
1.241442,-0.005528,1,9,1,12,13,60,1
1.139233,-0.022667,1,9,1,13,14,63,1
1.269963,0.018853,1,9,1,14,15,66,1
2.039229,-0.001441,1,9,1,15,16,69,1
1.744286,3.132894,1,10,2,3,4,72,1
1.033958,-3.128117,1,10,2,4,5,75,1
1.182521,3.133645,1,10,2,5,6,78,1
1.139394,3.118931,1,10,2,6,7,81,1
1.123597,3.131069,1,10,2,7,8,84,1
1.611159,-0.003787,1,10,2,8,9,87,1
1.980324,-0.002687,1,10,2,11,12,90,1
1.359679,-0.001435,1,10,2,12,13,93,1
1.123597,-0.010524,1,10,2,13,14,96,1
1.092972,0.014947,1,10,2,14,15,99,1
1.359481,-0.001346,1,10,2,15,16,102,1
1.862473,-0.005544,1,10,2,16,1,105,1
1.95239,-0.018472,1,11,3,1,2,108,1
1.61108,-0.003741,1,11,3,4,5,111,1
1.359481,3.140247,1,11,3,5,6,114,1
1.123653,3.131024,1,11,3,6,7,117,1
1.033888,-3.128191,1,11,3,7,8,120,1
1.123651,3.131071,1,11,3,8,9,123,1
1.921235,3.137576,1,11,3,9,10,126,1
1.803568,-0.0071,1,11,3,12,13,129,1
1.182521,-0.007948,1,11,3,13,14,132,1
1.033958,0.013475,1,11,3,14,15,135,1
1.182575,-0.007899,1,11,3,15,16,138,1
1.211047,0.017629,1,11,3,16,1,141,1
1.418479,0.000462,1,12,4,1,2,144,1
1.758674,-4.6e-05,1,12,4,2,3,147,1
1.92133,3.137531,1,12,4,5,6,150,1
1.285324,0.007652,1,12,4,6,7,153,1
1.033884,-3.128097,1,12,4,7,8,156,1
0.974854,-3.129827,1,12,4,8,9,159,1
1.272711,3.113948,1,12,4,9,10,162,1
1.744419,3.132779,1,12,4,10,11,165,1
1.744286,-0.008699,1,12,4,13,14,168,1
1.196898,0.004844,1,12,4,14,15,171,1
1.182575,-0.007899,1,12,4,15,16,174,1
1.108312,0.002213,1,12,4,16,1,177,1
1.24132,-0.005437,1,13,5,1,2,180,1
1.359417,-0.001348,1,13,5,2,3,183,1
1.920959,-0.003975,1,13,5,3,4,186,1
1.832626,3.135309,1,13,5,6,7,189,1
1.123381,3.131156,1,13,5,7,8,192,1
0.946564,3.121297,1,13,5,8,9,195,1
1.123381,3.131156,1,13,5,9,10,198,1
1.315993,3.1277,1,13,5,10,11,201,1
1.831393,-3.131739,1,13,5,11,12,204,1
1.818797,-0.014656,1,13,5,14,15,207,1
1.359285,-0.001305,1,13,5,15,16,210,1
1.092786,0.015058,1,13,5,16,1,213,1
1.213625,-0.0308,1,14,6,1,2,216,1
1.19672,0.004933,1,14,6,2,3,219,1
1.359352,-0.00135,1,14,6,3,4,222,1
1.744329,-0.008722,1,14,6,4,5,225,1
1.744122,3.13289,1,14,6,7,8,228,1
1.092914,-3.126506,1,14,6,8,9,231,1
1.123542,3.131114,1,14,6,9,10,234,1
1.227682,3.123363,1,14,6,10,11,237,1
1.213744,3.110702,1,14,6,11,12,240,1
1.744372,3.132848,1,14,6,12,13,243,1
2.039221,-0.001346,1,14,6,15,16,246,1
1.241618,-0.005522,1,14,6,16,1,249,1
1.328874,0.019882,1,15,7,1,2,252,1
1.182521,-0.007948,1,15,7,2,3,255,1
1.241381,-0.005482,1,15,7,3,4,2,1
1.182492,-0.007925,1,15,7,4,5,5,1
1.803095,-0.00704,1,15,7,5,6,8,1
1.64039,-0.003015,1,15,7,8,9,11,1
1.300428,3.138225,1,15,7,9,10,14,1
1.227595,3.123336,1,15,7,10,11,17,1
1.064476,3.128195,1,15,7,11,12,20,1
1.241532,3.136044,1,15,7,12,13,23,1
1.713366,-3.133961,1,15,7,13,14,26,1
1.862252,-0.005526,1,15,7,16,1,29,1
1.862171,-0.005622,1,16,8,1,2,32,1
1.300495,-0.00346,1,16,8,2,3,35,1
1.241442,-0.005528,1,16,8,3,4,38,1
1.033839,0.013399,1,16,8,4,5,41,1
1.359419,-0.001395,1,16,8,5,6,44,1
1.862259,-0.00562,1,16,8,6,7,47,1
1.921061,3.137478,1,16,8,9,10,50,1
1.331629,3.116988,1,16,8,10,11,53,1
1.123441,3.131016,1,16,8,11,12,56,1
1.18258,3.133599,1,16,8,12,13,59,1
1.241442,3.136065,1,16,8,13,14,62,1
1.744297,3.132752,1,16,8,14,15,65,1
1.680034,0.010014,2,1,9,2,3,222,2
1.259989,0.009977,2,1,9,3,4,225,2
1.052384,-0.009806,2,1,9,4,5,228,2
1.131487,0.035743,2,1,9,5,6,231,2
1.343231,0.016139,2,1,9,6,7,234,2
1.933789,0.001345,2,1,9,7,8,237,2
1.814431,3.112599,2,1,9,10,11,240,2
1.264887,3.118591,2,1,9,11,12,243,2
1.223464,3.114143,2,1,9,12,13,246,2
1.140787,3.104204,2,1,9,13,14,249,2
1.264868,3.118724,2,1,9,14,15,252,2
1.814491,3.112602,2,1,9,15,16,255,2
1.809449,-0.006195,2,2,10,3,4,2,2
1.177059,0.002829,2,2,10,4,5,5,2
1.135423,-0.001034,2,2,10,5,6,8,2
1.218619,0.006549,2,2,10,6,7,11,2
1.218538,0.006542,2,2,10,7,8,14,2
1.680394,0.009903,2,2,10,8,9,17,2
1.939008,3.121521,2,2,10,11,12,20,2
1.312493,3.09131,2,2,10,12,13,23,2
1.140795,3.104138,2,2,10,13,14,26,2
1.093962,3.13638,2,2,10,14,15,29,2
1.306421,3.12276,2,2,10,15,16,32,2
1.767924,3.132733,2,2,10,16,1,35,2
1.856145,3.115696,2,3,11,1,2,38,2
1.638576,0.007417,2,3,11,4,5,41,2
1.301704,0.013216,2,3,11,5,6,44,2
1.218547,0.006475,2,3,11,6,7,47,2
1.093893,-0.005253,2,3,11,7,8,50,2
1.26011,0.010021,2,3,11,8,9,53,2
1.850824,-0.003461,2,3,11,9,10,56,2
1.855891,3.115714,2,3,11,12,13,59,2
