BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.856876,-0.003101,1,1,9,2,3,170,1
1.031,0.015831,1,1,9,3,4,173,1
0.943992,-0.017982,1,1,9,4,5,176,1
0.913209,0.012168,1,1,9,5,6,179,1
1.06151,-0.01111,1,1,9,6,7,182,1
1.96092,-0.008267,1,1,9,7,8,185,1
1.621654,3.131583,1,1,9,10,11,188,1
1.00282,3.127182,1,1,9,11,12,191,1
0.826526,3.114677,1,1,9,12,13,194,1
0.885272,3.119464,1,1,9,13,14,197,1
1.06151,3.130482,1,1,9,14,15,200,1
1.665182,0.000249,1,1,9,15,16,203,1
1.974805,-0.000399,1,2,10,3,4,206,1
1.120597,-0.008207,1,2,10,4,5,209,1
1.061453,-0.010971,1,2,10,5,6,212,1
0.854397,0.009901,1,2,10,6,7,215,1
1.179221,-0.005566,1,2,10,7,8,218,1
1.8571,-0.003166,1,2,10,8,9,221,1
1.79824,3.136844,1,2,10,11,12,224,1
1.03095,-3.125717,1,2,10,12,13,227,1
0.944031,3.123754,1,2,10,13,14,230,1
0.92868,-0.002939,1,2,10,14,15,233,1
1.002913,3.127233,1,2,10,15,16,236,1
1.694798,0.00094,1,2,10,16,1,239,1
1.711871,3.117178,1,3,11,1,2,242,1
1.724251,0.00176,1,3,11,4,5,245,1
1.238034,-0.003097,1,3,11,5,6,248,1
0.972181,0.014103,1,3,11,6,7,251,1
1.030901,0.015874,1,3,11,7,8,254,1
1.120487,-0.008117,1,3,11,8,9,1,1
1.915693,-0.001639,1,3,11,9,10,4,1
1.739547,3.135208,1,3,11,12,13,7,1
1.092989,3.105175,1,3,11,13,14,10,1
0.899338,-0.005011,1,3,11,14,15,13,1
0.795523,-3.134126,1,3,11,15,16,16,1
0.899313,-0.004942,1,3,11,16,1,19,1
1.061558,3.130531,1,4,12,1,2,22,1
1.680655,3.133426,1,4,12,2,3,25,1
1.915599,-0.001594,1,4,12,5,6,28,1
1.224229,-0.01592,1,4,12,6,7,31,1
1.002674,-0.014323,1,4,12,7,8,34,1
0.913186,0.01219,1,4,12,8,9,37,1
1.148514,0.018892,1,4,12,9,10,40,1
1.798151,-0.004704,1,4,12,10,11,43,1
1.739084,3.135361,1,4,12,13,14,46,1
1.030903,-3.125766,1,4,12,14,15,49,1
0.79537,-3.134041,1,4,12,15,16,52,1
0.736646,-3.137134,1,4,12,16,1,55,1
0.943807,3.123791,1,5,13,1,2,58,1
0.957924,-0.001829,1,5,13,2,3,61,1
1.856693,3.138582,1,5,13,3,4,64,1
1.812172,0.003788,1,5,13,6,7,67,1
1.17899,-0.005386,1,5,13,7,8,70,1
0.913095,0.012327,1,5,13,8,9,73,1
0.971899,0.014278,1,5,13,9,10,76,1
1.179077,-0.005454,1,5,13,10,11,79,1
1.887621,-0.017896,1,5,13,11,12,82,1
1.797982,3.136885,1,5,13,14,15,85,1
1.002621,3.127409,1,5,13,15,16,88,1
0.736521,-3.137024,1,5,13,16,1,91,1
0.944267,3.123435,1,6,14,1,2,94,1
0.781834,-0.012659,1,6,14,2,3,97,1
1.002958,3.127282,1,6,14,3,4,100,1
1.680892,3.133433,1,6,14,4,5,103,1
1.857051,-0.003097,1,6,14,7,8,106,1
1.105213,0.004689,1,6,14,8,9,109,1
0.913268,0.012289,1,6,14,9,10,112,1
1.002886,-0.01429,1,6,14,10,11,115,1
1.179212,-0.005378,1,6,14,11,12,118,1
1.857051,-0.003097,1,6,14,12,13,121,1
1.680445,3.133586,1,6,14,15,16,124,1
0.958057,-0.001823,1,6,14,16,1,127,1
1.061605,3.13058,1,7,15,1,2,130,1
0.767796,3.109307,1,7,15,2,3,133,1
0.795445,-3.134037,1,7,15,3,4,136,1
1.018487,3.113969,1,7,15,4,5,139,1
1.680362,3.133631,1,7,15,5,6,142,1
1.856826,-0.003031,1,7,15,8,9,145,1
1.179101,-0.005382,1,7,15,9,10,148,1
1.016853,0.000896,1,7,15,10,11,151,1
1.002666,-0.014135,1,7,15,11,12,154,1
1.07558,0.003292,1,7,15,12,13,157,1
1.915411,-0.001504,1,7,15,13,14,160,1
1.739333,3.13532,1,7,15,16,1,163,1
1.71171,3.117173,1,8,16,1,2,166,1
0.944015,3.123589,1,8,16,2,3,169,1
0.795448,-3.134131,1,8,16,3,4,172,1
0.826485,3.114722,1,8,16,4,5,175,1
1.061401,3.130666,1,8,16,5,6,178,1
1.680576,3.133424,1,8,16,6,7,181,1
1.915599,-0.001594,1,8,16,9,10,184,1
1.194705,-0.017064,1,8,16,10,11,187,1
1.002625,-0.014278,1,8,16,11,12,190,1
0.928568,-0.002873,1,8,16,12,13,193,1
1.237796,-0.003011,1,8,16,13,14,196,1
1.915697,-0.001686,1,8,16,14,15,199,1
1.679812,3.133569,1,9,1,2,3,202,1
0.971648,-3.127349,1,9,1,3,4,205,1
0.82613,3.114845,1,9,1,4,5,208,1
0.840108,-0.008302,1,9,1,5,6,211,1
0.943587,3.123733,1,9,1,6,7,214,1
1.797552,3.136969,1,9,1,7,8,217,1
1.797291,-0.004536,1,9,1,10,11,220,1
1.178686,-0.005421,1,9,1,11,12,223,1
0.943587,-0.017859,1,9,1,12,13,226,1
1.045825,0.002578,1,9,1,13,14,229,1
1.11993,-0.008069,1,9,1,14,15,232,1
1.887355,-0.017902,1,9,1,15,16,235,1
1.738593,3.135348,1,10,2,3,4,238,1
1.031814,3.129029,1,10,2,4,5,241,1
0.795142,-3.133959,1,10,2,5,6,244,1
0.767596,3.109319,1,10,2,6,7,247,1
1.061201,3.130658,1,10,2,7,8,250,1
1.621309,3.131597,1,10,2,8,9,253,1
1.91523,-0.001508,1,10,2,11,12,0,1
1.12006,-0.00804,1,10,2,12,13,3,1
1.002432,-0.014192,1,10,2,13,14,6,1
1.002553,-0.014257,1,10,2,14,15,9,1
1.11998,-0.008019,1,10,2,15,16,12,1
1.797721,-0.00462,1,10,2,16,1,15,1
1.797371,-0.004487,1,11,3,1,2,18,1
1.680128,3.133577,1,11,3,4,5,21,1
1.030551,-3.125499,1,11,3,5,6,24,1
0.898954,-0.004936,1,11,3,6,7,27,1
0.943629,3.123782,1,11,3,7,8,30,1
1.061251,3.13066,1,11,3,8,9,33,1
1.856336,3.138667,1,11,3,9,10,36,1
1.887393,-0.017831,1,11,3,12,13,39,1
1.119976,-0.007925,1,11,3,13,14,42,1
1.016615,0.000886,1,11,3,14,15,45,1
0.943675,-0.017855,1,11,3,15,16,48,1
1.120033,-0.008017,1,11,3,16,1,51,1
