BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.970728,-0.006741,1,1,9,2,3,123,1
1.208575,0.016704,1,1,9,3,4,133,1
1.127011,-0.011439,1,1,9,4,5,143,1
1.180188,-0.008833,1,1,9,5,6,153,1
1.410134,-0.000497,1,1,9,6,7,163,1
1.917508,-0.005013,1,1,9,7,8,173,1
1.757771,-0.627498,1,1,9,10,11,183,1
1.238982,3.135106,1,1,9,11,12,193,1
1.149597,1.864419,1,1,9,12,13,203,1
1.00365,3.123963,1,1,9,13,14,213,1
1.149616,-3.126132,1,1,9,14,15,223,1
2.035166,3.139256,1,1,9,15,16,233,1
1.946411,-0.004272,1,2,10,3,4,243,1
1.298001,-0.004333,1,2,10,4,5,253,1
1.239101,-0.006475,1,2,10,5,6,7,1
1.239113,-0.0064,1,2,10,6,7,17,1
1.329059,-0.025347,1,2,10,7,8,27,1
1.858577,-0.00642,1,2,10,8,9,37,1
1.842,3.125011,1,2,10,11,12,47,1
1.297936,3.137323,1,2,10,12,13,57,1
1.050244,1.87532,1,2,10,13,14,67,1
1.079414,-0.625549,1,2,10,14,15,77,1
1.356759,3.139223,1,2,10,15,16,87,1
1.781331,3.132572,1,2,10,16,1,97,1
1.824748,3.121286,1,3,11,1,2,107,1
1.887061,6.4e-05,1,3,11,4,5,117,1
1.39906,-0.009679,1,3,11,5,6,127,1
1.298023,-0.004295,1,3,11,6,7,137,1
1.180286,-0.008821,1,3,11,7,8,147,1
1.298072,-0.004293,1,3,11,8,9,157,1
2.03543,-0.002357,1,3,11,9,10,167,1
1.858719,3.135157,1,3,11,12,13,177,1
1.239203,3.135177,1,3,11,13,14,187,1
1.121423,3.130167,1,3,11,14,15,197,1
1.121455,3.130158,1,3,11,15,16,207,1
1.180342,3.132784,1,3,11,16,1,217,1
1.210675,3.118917,1,4,12,1,2,227,1
1.858439,3.135179,1,4,12,2,3,237,1
2.034973,-0.002312,1,4,12,5,6,247,1
1.47434,0.001189,1,4,12,6,7,1,1
1.180016,-0.008735,1,4,12,7,8,11,1
1.238886,-0.006388,1,4,12,8,9,21,1
1.356618,-0.002237,1,4,12,9,10,31,1
1.839907,0.002785,1,4,12,10,11,41,1
1.799537,3.133639,1,4,12,13,14,51,1
1.238839,3.135213,1,4,12,14,15,61,1
1.121188,3.130243,1,4,12,15,16,71,1
1.062334,3.127318,1,4,12,16,1,81,1
1.031641,-3.128898,1,5,13,1,2,91,1
1.297611,3.137389,1,5,13,2,3,101,1
1.948111,3.125246,1,5,13,3,4,111,1
2.034597,-0.002233,1,5,13,6,7,121,1
1.297626,-0.004185,1,5,13,7,8,131,1
1.233177,-0.006829,1,5,13,8,9,141,1
1.179906,-0.008655,1,5,13,9,10,151,1
1.261439,0.013111,1,5,13,10,11,161,1
1.916935,-0.004875,1,5,13,11,12,171,1
1.79916,3.133706,1,5,13,14,15,181,1
1.297515,3.137423,1,5,13,15,16,191,1
1.062215,3.127294,1,5,13,16,1,201,1
1.062835,3.126829,1,6,14,1,2,211,1
1.149538,1.859581,1,6,14,2,3,221,1
1.238902,3.135356,1,6,14,3,4,231,1
1.740601,3.132191,1,6,14,4,5,241,1
1.858256,-0.006097,1,6,14,7,8,251,1
1.297754,-0.004029,1,6,14,8,9,5,1
1.180039,-0.008547,1,6,14,9,10,15,1
1.121178,-0.011059,1,6,14,10,11,25,1
1.238885,-0.006124,1,6,14,11,12,35,1
1.917173,-0.004681,1,6,14,12,13,45,1
2.094466,3.135515,1,6,14,15,16,55,1
1.208427,-3.124519,1,6,14,16,1,65,1
1.185831,3.132608,1,7,15,1,2,75,1
1.121307,3.130153,1,7,15,2,3,85,1
1.044055,-0.626476,1,7,15,3,4,95,1
1.180209,3.132808,1,7,15,4,5,105,1
1.858503,3.135237,1,7,15,5,6,115,1
1.858418,-0.006367,1,7,15,8,9,125,1
1.297811,-0.004198,1,7,15,9,10,135,1
1.121249,-0.011349,1,7,15,10,11,145,1
1.121229,-0.011331,1,7,15,11,12,155,1
1.356632,-0.002236,1,7,15,12,13,165,1
1.810747,-0.001169,1,7,15,13,14,175,1
1.799554,3.133659,1,7,15,16,1,185,1
1.858276,3.13514,1,8,16,1,2,195,1
1.238852,3.135204,1,8,16,2,3,205,1
1.03164,-3.128945,1,8,16,3,4,215,1
1.062326,3.127298,1,8,16,4,5,225,1
1.202724,3.123654,1,8,16,5,6,235,1
1.883104,3.129252,1,8,16,6,7,245,1
1.976022,-0.003552,1,8,16,9,10,255,1
1.297676,-0.004202,1,8,16,10,11,9,1
1.121203,-0.011388,1,8,16,11,12,19,1
1.238874,-0.006379,1,8,16,12,13,29,1
1.297738,-0.004219,1,8,16,13,14,39,1
1.880899,0.006668,1,8,16,14,15,49,1
1.858008,3.135056,1,9,1,2,3,59,1
1.179823,3.13269,1,9,1,3,4,69,1
1.090379,0.610127,1,9,1,4,5,79,1
1.179844,3.132738,1,9,1,5,6,89,1
1.356356,3.139216,1,9,1,6,7,99,1
2.034574,3.139236,1,9,1,7,8,109,1
1.799191,-0.007991,1,9,1,10,11,119,1
1.249995,-0.006406,1,9,1,11,12,129,1
1.232437,-0.001759,1,9,1,12,13,139,1
1.120958,-0.011443,1,9,1,13,14,149,1
1.220332,0.007427,1,9,1,14,15,159,1
1.975659,-0.003644,1,9,1,15,16,169,1
1.864214,3.132306,1,10,2,3,4,179,1
1.233136,3.130078,1,10,2,4,5,189,1
1.204263,3.114357,1,10,2,5,6,199,1
1.238737,3.135153,1,10,2,6,7,209,1
1.121023,3.130133,1,10,2,7,8,219,1
1.799221,3.133585,1,10,2,8,9,229,1
1.916852,-0.004962,1,10,2,11,12,239,1
1.356453,-0.00228,1,10,2,12,13,249,1
1.121007,-0.011356,1,10,2,13,14,3,1
1.062179,-0.014356,1,10,2,14,15,13,1
1.415242,-0.000474,1,10,2,15,16,23,1
1.916927,-0.005016,1,10,2,16,1,33,1
1.982093,-0.003602,1,11,3,1,2,43,1
1.740502,3.131962,1,11,3,4,5,53,1
1.245059,3.135174,1,11,3,5,6,63,1
1.062268,3.127239,1,11,3,6,7,73,1
0.972723,-3.130677,1,11,3,7,8,83,1
1.257419,3.121929,1,11,3,8,9,93,1
2.099762,3.137865,1,11,3,9,10,103,1
1.917106,-0.004985,1,11,3,12,13,113,1
1.18,-0.008739,1,11,3,13,14,123,1
1.121117,-0.011447,1,11,3,14,15,133,1
1.297629,-0.004297,1,11,3,15,16,143,1
1.29768,-0.004287,1,11,3,16,1,153,1
1.297317,-0.004138,1,12,4,1,2,163,1
1.916591,-0.004873,1,12,4,2,3,173,1
2.034235,3.139297,1,12,4,5,6,183,1
1.244145,3.130804,1,12,4,6,7,193,1
0.972434,-3.130695,1,12,4,7,8,203,1
1.174173,3.127364,1,12,4,8,9,213,1
1.356183,3.139296,1,12,4,9,10,223,1
1.798925,3.133672,1,12,4,10,11,233,1
1.857768,-0.006382,1,12,4,13,14,243,1
1.297395,-0.00422,1,12,4,14,15,253,1
1.297359,-0.00422,1,12,4,15,16,7,1
1.179672,-0.008757,1,12,4,16,1,17,1
1.149025,0.015572,1,13,5,1,2,27,1
1.297269,-0.004159,1,13,5,2,3,37,1
2.034154,-0.002226,1,13,5,3,4,47,1
1.851929,3.134943,1,13,5,6,7,57,1
1.120741,3.130236,1,13,5,7,8,67,1
1.152014,3.106085,1,13,5,8,9,77,1
1.179602,3.132861,1,13,5,9,10,87,1
1.210778,3.109779,1,13,5,10,11,97,1
1.798722,3.133668,1,13,5,11,12,107,1
1.857535,-0.006321,1,13,5,14,15,117,1
1.439591,-0.015995,1,13,5,15,16,127,1
1.179515,-0.008743,1,13,5,16,1,137,1
1.148763,0.01629,1,14,6,1,2,147,1
1.148982,0.016005,1,14,6,2,3,157,1
1.2384,-0.006046,1,14,6,3,4,167,1
1.798839,-0.007668,1,14,6,4,5,177,1
1.916451,3.136907,1,14,6,7,8,187,1
1.238418,3.135435,1,14,6,8,9,197,1
1.179593,3.133087,1,14,6,9,10,207,1
1.115192,3.124743,1,14,6,10,11,217,1
1.238431,3.135436,1,14,6,11,12,227,1
1.857732,3.135427,1,14,6,12,13,237,1
2.034098,-0.002053,1,14,6,15,16,247,1
1.308736,-0.003893,1,14,6,16,1,1,1
1.297374,-0.004042,1,15,7,1,2,11,1
1.120892,-0.011269,1,15,7,2,3,21,1
1.090272,0.014249,1,15,7,3,4,31,1
1.238593,-0.006369,1,15,7,4,5,41,1
1.916668,-0.004908,1,15,7,5,6,51,1
1.810378,3.127531,1,15,7,8,9,61,1
1.356261,3.139345,1,15,7,9,10,71,1
1.120911,3.130177,1,15,7,10,11,81,1
1.062083,3.1273,1,15,7,11,12,91,1
1.297361,3.137362,1,15,7,12,13,101,1
1.857728,3.135147,1,15,7,13,14,111,1
1.916667,-0.004909,1,15,7,16,1,121,1
1.939278,-0.001726,1,16,8,1,2,131,1
1.266898,0.017884,1,16,8,2,3,141,1
1.090171,0.014152,1,16,8,3,4,151,1
1.120871,-0.011372,1,16,8,4,5,161,1
1.285203,-0.004242,1,16,8,5,6,171,1
2.065095,-0.01586,1,16,8,6,7,181,1
2.0993,3.137891,1,16,8,9,10,191,1
1.221866,3.119926,1,16,8,10,11,201,1
1.062037,3.127259,1,16,8,11,12,211,1
1.179639,3.132798,1,16,8,12,13,221,1
1.120818,3.13021,1,16,8,13,14,231,1
1.798856,3.133661,1,16,8,14,15,241,1
1.886763,-0.001222,2,1,9,2,3,155,2
1.173497,0.002764,2,1,9,3,4,165,2
