BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.089084,-0.071372,10,1,9,2,3,136
2.633047,-0.023807,10,1,9,3,4,147
2.023502,-0.018486,10,1,9,4,5,157
2.496228,-0.0172,10,1,9,5,6,167
3.589471,0.077749,10,1,9,6,7,177
5.61765,-0.082373,10,1,9,7,8,187
7.257024,3.107787,10,1,9,10,11,197
2.824342,3.073966,10,1,9,11,12,207
2.040459,3.060294,10,1,9,12,13,217
1.857287,3.086277,10,1,9,13,14,227
2.056407,3.017823,10,1,9,14,15,237
3.750363,3.122897,10,1,9,15,16,247
3.843543,-0.026927,10,2,10,3,4,1
2.082777,-0.018126,10,2,10,4,5,11
2.082802,-0.018102,10,2,10,5,6,21
2.543105,0.133343,10,2,10,6,7,31
3.074226,-0.117607,10,2,10,7,8,41
6.323029,-0.157768,10,2,10,8,9,51
6.069455,3.086168,10,2,10,11,12,61
3.200193,3.074486,10,2,10,12,13,71
2.349738,3.08758,10,2,10,13,14,81
2.028936,3.012553,10,2,10,14,15,91
2.581442,3.137556,10,2,10,15,16,101
4.04329,-3.052989,10,2,10,16,1,111
3.691974,2.961949,10,3,11,1,2,121
3.35363,-0.024772,10,3,11,4,5,131
2.257496,-0.016973,10,3,11,5,6,141
2.161678,0.159461,10,3,11,6,7,151
1.899,-0.15899,10,3,11,7,8,161
2.987774,-0.282281,10,3,11,8,9,171
8.61985,0.030454,10,3,11,9,10,181
4.572146,3.084684,10,3,11,12,13,191
2.74466,3.086825,10,3,11,13,14,201
2.101187,3.013453,10,3,11,14,15,211
2.282967,2.353813,10,3,11,15,16,221
2.843971,-3.000779,10,3,11,16,1,231
2.190003,2.866555,10,4,12,1,2,241
4.194688,3.129676,10,4,12,2,3,251
3.906273,-0.026566,10,4,12,5,6,5
2.496442,0.132873,10,4,12,6,7,15
1.724868,-0.174791,10,4,12,7,8,25
2.062876,-0.39776,10,4,12,8,9,35
5.661501,0.071735,10,4,12,9,10,45
4.001441,-0.050762,10,4,12,10,11,55
4.032654,3.089487,10,4,12,13,14,64
2.391846,3.027388,10,4,12,14,15,75
2.223033,1.570549,10,4,12,15,16,85
2.448509,-2.976571,10,4,12,16,1,95
1.855579,2.816398,10,5,13,1,2,105
2.878951,3.136845,10,5,13,2,3,115
4.288655,3.090197,10,5,13,3,4,125
3.825552,0.073257,10,5,13,6,7,135
1.937265,-0.168993,10,5,13,7,8,145
1.806271,-0.446285,10,5,13,8,9,155
4.717946,0.096171,10,5,13,9,10,165
2.828867,-0.060593,10,5,13,10,11,175
3.315546,-0.012329,10,5,13,11,12,185
3.856881,3.054352,10,5,13,14,15,195
2.563759,2.348375,10,5,13,15,16,205
2.440533,-2.975953,10,5,13,16,1,215
1.846617,2.818813,10,6,14,1,2,225
2.432046,-2.349215,10,6,14,2,3,235
2.612091,3.083217,10,6,14,3,4,245
3.66208,3.086913,10,6,14,4,5,255
3.285916,-0.107556,10,6,14,7,8,9
1.9729,-0.400665,10,6,14,8,9,19
4.640564,0.102545,10,6,14,9,10,29
2.622931,-0.056775,10,6,14,10,11,39
2.025121,0.010906,10,6,14,11,12,49
3.481965,-0.025677,10,6,14,12,13,59
3.991532,3.123319,10,6,14,15,16,69
2.789113,-2.997335,10,6,14,16,1,79
2.247036,2.872025,10,7,15,1,2,89
