BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.250329,-0.030818,10,1,9,2,3,219
5.663881,-0.040721,10,1,9,3,4,222
2.287962,-0.063056,10,1,9,4,5,225
1.750361,-0.028024,10,1,9,5,6,227
2.920602,-0.013895,10,1,9,6,7,231
2.910133,-0.085113,10,1,9,7,8,234
3.913018,3.095337,10,1,9,10,11,237
2.663166,3.089043,10,1,9,11,12,240
1.916113,3.107327,10,1,9,12,13,242
1.872332,3.086617,10,1,9,13,14,246
2.41407,3.09388,10,1,9,14,15,249
5.505446,3.125416,10,1,9,15,16,252
8.954269,-0.039012,10,2,10,3,4,255
3.20556,-0.047509,10,2,10,4,5,1
1.91643,-0.034282,10,2,10,5,6,5
2.58601,-0.018873,10,2,10,6,7,8
1.331133,-0.130591,10,2,10,7,8,11
3.581974,-0.041217,10,2,10,8,9,14
4.248529,3.100991,10,2,10,11,12,16
2.33282,3.104629,10,2,10,12,13,20
1.955903,3.084703,10,2,10,13,14,23
2.082757,3.102163,10,2,10,14,15,26
4.050056,3.134701,10,2,10,15,16,28
4.813689,3.11133,10,2,10,16,1,32
5.750836,3.09289,10,3,11,1,2,35
6.918478,-0.045213,10,3,11,4,5,38
3.045139,-0.030925,10,3,11,5,6,40
2.965782,-0.01512,10,3,11,6,7,44
1.166089,-0.135017,10,3,11,7,8,47
2.417141,-0.047706,10,3,11,8,9,50
4.462776,-0.034056,10,3,11,9,10,52
3.751642,3.097737,10,3,11,12,13,56
2.209642,3.098739,10,3,11,13,14,59
1.999708,3.083772,10,3,11,14,15,62
3.595182,3.134952,10,3,11,15,16,64
3.462377,3.108365,10,3,11,16,1,68
2.081342,3.082048,10,4,12,1,2,71
7.790465,3.100905,10,4,12,2,3,74
6.12457,-0.038223,10,4,12,5,6,77
4.130941,-0.018817,10,4,12,6,7,80
1.621946,-0.099444,10,4,12,7,8,83
2.415829,-0.047785,10,4,12,8,9,86
3.167988,-0.033696,10,4,12,9,10,89
3.95929,-0.036383,10,4,12,10,11,92
3.373007,3.091551,10,4,12,13,14,94
1.977204,3.084267,10,4,12,14,15,98
3.00848,3.139067,10,4,12,15,16,101
2.127393,3.120493,10,4,12,16,1,104
1.122365,3.042195,10,5,13,1,2,107
4.122345,3.102741,10,5,13,2,3,110
7.99689,3.10468,10,5,13,3,4,113
5.209276,-0.027449,10,5,13,6,7,116
1.912051,-0.099391,10,5,13,7,8,119
2.331207,-0.045877,10,5,13,8,9,122
2.792892,-0.024842,10,5,13,9,10,124
2.581222,-0.042966,10,5,13,10,11,128
4.206158,-0.040068,10,5,13,11,12,131
3.370552,3.091624,10,5,13,14,15,134
3.300338,-3.139989,10,5,13,15,16,137
1.957334,3.105958,10,5,13,16,1,140
0.997394,3.042222,10,6,14,1,2,143
2.955498,3.098494,10,6,14,2,3,146
5.413093,3.10361,10,6,14,3,4,149
3.331112,3.104574,10,6,14,4,5,152
3.242811,-0.073742,10,6,14,7,8,154
2.623605,-0.035971,10,6,14,8,9,158
