BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.056494,-0.057369,10,1,9,2,3,127
2.475958,0.017641,10,1,9,3,4,138
1.88705,0.001407,10,1,9,4,5,148
2.002935,-0.011121,10,1,9,5,6,158
2.448429,0.017188,10,1,9,6,7,168
4.332244,-0.015912,10,1,9,7,8,178
3.994208,3.127408,10,1,9,10,11,188
2.511225,3.044066,10,1,9,11,12,198
2.051496,3.032683,10,1,9,12,13,208
2.097893,3.067564,10,1,9,13,14,218
2.756441,3.038717,10,1,9,14,15,228
4.199876,3.047532,10,1,9,15,16,238
4.119567,-0.002637,10,2,10,3,4,248
2.351469,-0.012847,10,2,10,4,5,2
1.991884,-0.003335,10,2,10,5,6,12
2.065828,0.021377,10,2,10,6,7,22
2.584786,0.002655,10,2,10,7,8,32
3.813754,-0.16261,10,2,10,8,9,42
4.208098,3.05696,10,2,10,11,12,52
2.525739,3.040291,10,2,10,12,13,61
2.114433,3.061967,10,2,10,13,14,72
2.29223,3.026066,10,2,10,14,15,82
2.620228,3.017608,10,2,10,15,16,92
4.218021,-3.098653,10,2,10,16,1,102
4.159939,3.004775,10,3,11,1,2,112
3.834365,-0.016393,10,3,11,4,5,122
2.524938,-0.015873,10,3,11,5,6,132
2.111646,0.03158,10,3,11,6,7,142
2.267499,-0.002271,10,3,11,7,8,152
2.364499,-0.224407,10,3,11,8,9,162
4.179848,0.063243,10,3,11,9,10,172
4.18345,3.057967,10,3,11,12,13,182
2.540355,3.057799,10,3,11,13,14,192
2.276481,3.020616,10,3,11,14,15,202
2.244014,3.003733,10,3,11,15,16,212
2.572582,-3.039025,10,3,11,16,1,222
2.490762,2.939928,10,4,12,1,2,232
4.17679,3.122442,10,4,12,2,3,242
4.341813,-0.029251,10,4,12,5,6,252
2.480445,0.013926,10,4,12,6,7,6
2.28409,0.000465,10,4,12,7,8,16
1.923953,-0.266316,10,4,12,8,9,26
2.448516,0.157716,10,4,12,9,10,36
3.876792,-0.072262,10,4,12,10,11,46
4.222014,3.078371,10,4,12,13,14,56
2.702073,3.027871,10,4,12,14,15,66
2.249795,2.998529,10,4,12,15,16,76
2.200653,-3.016757,10,4,12,16,1,86
2.119688,2.912863,10,5,13,1,2,96
2.591768,3.123226,10,5,13,2,3,106
4.40042,3.06791,10,5,13,3,4,116
4.032925,-0.010268,10,5,13,6,7,126
2.559749,0.010111,10,5,13,7,8,136
1.899963,-0.265597,10,5,13,8,9,146
2.059967,0.206166,10,5,13,9,10,156
2.36148,-0.101916,10,5,13,10,11,166
4.006933,-0.013198,10,5,13,11,12,176
4.210355,3.061748,10,5,13,14,15,186
2.577789,3.009406,10,5,13,15,16,196
2.211785,-3.017773,10,5,13,16,1,206
2.11859,2.908554,10,6,14,1,2,216
2.155524,3.128427,10,6,14,2,3,226
2.661233,3.041568,10,6,14,3,4,236
3.913508,3.067369,10,6,14,4,5,246
4.197339,-0.01734,10,6,14,7,8,0
2.284286,-0.228502,10,6,14,8,9,10
2.041863,0.205818,10,6,14,9,10,20
2.040391,-0.103709,10,6,14,10,11,30
2.335553,0.019456,10,6,14,11,12,40
4.054367,-0.014444,10,6,14,12,13,49
4.199801,3.033753,10,6,14,15,16,60
2.53357,-3.028633,10,6,14,16,1,70
2.600126,2.920428,10,7,15,1,2,80
2.172088,0.783925,10,7,15,2,3,90
2.248974,3.020831,10,7,15,3,4,100
2.324971,3.04727,10,7,15,4,5,110
4.028773,3.090027,10,7,15,5,6,120
3.950192,-0.156491,10,7,15,8,9,130
2.396758,0.183967,10,7,15,9,10,140
2.08671,-0.116811,10,7,15,10,11,150
1.993139,0.035545,10,7,15,11,12,160
2.668346,-0.000416,10,7,15,12,13,170
4.192887,-0.029238,10,7,15,13,14,180
4.217732,-3.090387,10,7,15,16,1,190
4.109243,2.993012,10,8,16,1,2,200
2.545419,3.126632,10,8,16,2,3,210
2.234246,3.01862,10,8,16,3,4,220
2.050604,3.046417,10,8,16,4,5,230
2.571472,3.07137,10,8,16,5,6,240
4.13379,3.062778,10,8,16,6,7,250
4.067139,0.102777,10,8,16,9,10,4
2.487866,-0.099721,10,8,16,10,11,14
1.982684,0.02508,10,8,16,11,12,24
2.241967,-0.00465,10,8,16,12,13,34
2.519439,-0.005579,10,8,16,13,14,44
3.929348,-0.011737,10,8,16,14,15,54
4.159822,3.113797,10,9,1,2,3,63
2.682711,3.03366,10,9,1,3,4,74
2.021931,3.046026,10,9,1,4,5,84
2.179139,3.05623,10,9,1,5,6,94
2.52564,3.038043,10,9,1,6,7,104
4.430604,3.065101,10,9,1,7,8,114
3.854972,-0.072162,10,9,1,10,11,124
2.347674,0.034759,10,9,1,11,12,134
2.262076,0.00856,10,9,1,12,13,144
2.077042,-0.019226,10,9,1,13,14,154
2.354563,0.009654,10,9,1,14,15,164
4.108752,0.010607,10,9,1,15,16,174
4.178976,3.061696,10,10,2,3,4,184
2.361814,3.045706,10,10,2,4,5,194
2.194648,3.068278,10,10,2,5,6,204
2.137977,3.019996,10,10,2,6,7,214
2.610514,3.03767,10,10,2,7,8,224
3.918679,-3.06845,10,10,2,8,9,234
4.077016,0.004456,10,10,2,11,12,244
2.630248,0.004253,10,10,2,12,13,254
2.091179,-0.019866,10,10,2,13,14,8
1.911214,0.028283,10,10,2,14,15,18
2.440987,0.039809,10,10,2,15,16,28
3.953084,-0.13775,10,10,2,16,1,37
3.985601,0.051117,10,11,3,1,2,47
4.012916,3.06633,10,11,3,4,5,58
2.658899,3.068234,10,11,3,5,6,68
2.099218,3.020378,10,11,3,6,7,78
2.179141,3.032459,10,11,3,7,8,88
2.581688,-3.021277,10,11,3,8,9,98
4.495867,2.977011,10,11,3,9,10,108
4.019992,-0.017183,10,11,3,12,13,118
2.573384,-0.024803,10,11,3,13,14,128
1.928557,0.010249,10,11,3,14,15,138
2.046471,0.049553,10,11,3,15,16,148
